id,field,current_structured,value_in_research_notes,category,snippet
HD1215,death,2025-?-?,2025-01-14,clean,"; d. Jan 14, 2025 S"
X00382,birth,1929-?-?,1929-03-23,clean,"b. Mar 23, 1929 C"
X00382,death,2017-?-?,2017-11-26,clean,"; d. Nov 26, 2017 C"
HD1216,birth,1948-?-?,1948-05-02,clean,"b. May 2, 1948 L"
HD1216,death,1980-?-?,1980-02-25,clean,"; d. Feb 25, 1980 L"
HD1217,birth,1839-?-?,1839-12-05,clean,"b. Dec 5, 1839 H"
HD1217,death,1896-?-?,1896-07-05,clean,"; d. Jul 5, 1896 B"
HD1219,birth,1847-?-?,1847-12-04,clean,"b. Dec 4, 1847 H"
HD1219,death,1923-?-?,1923-04-01,clean,"; d. Apr 1, 1923 H"
HD1222,birth,1893-?-?,1893-11-14,clean,"b. Nov 14, 1893 N"
HD1224,birth,1897-?-?,1897-01-17,clean,"b. Jan 17, 1897 M"
HD1224,death,1989-?-?,1989-03-11,clean,"; d. Mar 11, 1989 L"
X00383,birth,1863-?-?,1863-10-31,clean,"b. Oct 31, 1863 N"
X00383,death,1947-?-?,1947-07-14,clean,"; d. Jul 14, 1947 N"
HD1227,birth,1901-?-?,1901-08-13,clean,"b. Aug 13, 1901 N"
HD1227,death,1993-?-?,1993-12-28,clean,"; d. Dec 28, 1993 B"
X00384,birth,1869-?-?,1869-02-05,clean,"b. Feb 5, 1869 N"
X00384,death,1950-?-?,1950-05-08,clean,"; d. May 8, 1950 S"
HD1230,birth,1898-?-?,1898-08-03,clean,"b. Aug 3, 1898 T"
HD1230,death,1982-?-?,1982-03-04,clean,"; d. Mar 4, 1982 S"
HD1231,birth,1900-?-?,1900-06-18,clean,"b. Jun 18, 1900 T"
HD1231,death,1978-?-?,1978-02-09,clean,"; d. Feb 9, 1978 S"
HD1232,birth,1903-?-?,1903-01-25,clean,"b. Jan 25, 1903 N"
HD1232,death,1970-?-?,1970-05-29,clean,"; d. May 29, 1970 L"
HD1233,birth,1907-?-?,1907-12-19,clean,"b. Dec 19, 1907 N"
HD1233,death,1919-?-?,1919-01-11,clean,"; d. Jan 11, 1919 M"
X00385,birth,1870-?-?,1870-01-29,clean,"b. Jan 29, 1870 B"
X00385,death,1942-?-?,1942-05-12,clean,"; d. May 12, 1942 W"
HD1236,birth,1922-?-?,1922-07-26,clean,"b. Jul 26, 1922 T"
HD1236,death,2008-?-?,2008-02-16,clean,"; d. Feb 16, 2008 a"
HD1237,death,2008-?-?,2008-11-12,clean,"; d. Nov 12, 2008 M"
X00386,birth,1840-?-?,1840-02-14,clean,"b. Feb 14, 1840 E"
X00386,death,1911-?-?,1911-04-28,clean,"; d. Apr 28, 1911."
HD1239,birth,1870-?-?,1870-06-17,clean,"b. Jun 17, 1870 E"
HD1239,death,1915-?-?,1915-07-09,clean,"; d. Jul 9, 1915 a"
HD1251,birth,1823-?-?,1823-08-17,clean,"b. Aug 17, 1823 N"
HD1251,death,1901-?-?,1901-02-26,clean,"; d. Feb 26, 1901 N"
X00392,birth,1801-?-?,1801-08-16,clean,"b. Aug 16, 1801 L"
X00392,death,1882-?-?,1882-04-19,clean,"; d. Apr 19, 1882 M"
HD1256,birth,1827-?-?,1827-10-16,clean,"b. Oct 16, 1827 L"
HD1256,death,1894-?-?,1894-04-09,clean,"; d. Apr 9, 1894 M"
HD1258,death,1892-?-?,1892-08-26,clean,"; d. Aug 26, 1892 S"
HD1259,birth,1835-?-?,1835-10-13,clean,"b. Oct 13, 1835 L"
HD1259,death,1865-?-?,1865-09-01,clean,"; d. Sep 1, 1865 a"
HD1260,death,1868-?-?,1868-10-15,clean,"; d. Oct 15, 1868 M"
X00393,death,1870-?-?,1870-08-18,clean,"; d. Aug 18, 1870 N"
HD1261,birth,1860-?-?,1860-09-25,clean,"b. Sep 25, 1860 N"
HD1261,death,1937-?-?,1937-02-11,clean,"; d. Feb 11, 1937 S"
HD1262,birth,1863-?-?,1863-07-31,clean,"b. Jul 31, 1863 N"
HD1262,death,1913-?-?,1913-08-24,clean,"; d. Aug 24, 1913 N"
HD1263,birth,1866-?-?,1866-06-16,clean,"b. Jun 16, 1866 C"
HD1263,death,1938-?-?,1938-12-09,clean,"; d. Dec 9, 1938 S"
HD1264,death,1908-?-?,1908-05-24,clean,"; d. May 24, 1908 N"
X00394,birth,1860-?-?,1860-05-30,clean,"b. May 30, 1860 P"
X00394,death,1949-?-?,1949-06-21,clean,"; d. Jun 21, 1949 N"
HD1265,birth,1888-?-?,1888-01-10,clean,"b. Jan 10, 1888 N"
HD1265,death,1967-?-?,1967-12-09,clean,"; d. Dec 9, 1967 H"
HD1266,birth,1889-?-?,1889-09-03,clean,"b. Sep 3, 1889 N"
HD1267,birth,1891-?-?,1891-06-11,clean,"b. Jun 11, 1891;"
HD1267,death,1893-?-?,1893-02-20,clean,"; d. Feb 20, 1893 a"
HD1268,birth,1893-?-?,1893-05-18,clean,"b. May 18, 1893 N"
HD1268,death,1999-?-?,1999-10-06,clean,"; d. Oct 6, 1999 N"
HD1269,death,1909-?-?,1909-07-15,clean,"; d. Jul 15, 1909 N"
X00395,death,1926-?-?,1926-06-15,clean,"; d. Jun 15, 1926 L"
HD1270,birth,1859-?-?,1859-09-29,clean,"b. Sep 29, 1859 L"
HD1270,death,1942-?-?,1942-01-31,clean,"; d. Jan 31, 1942 N"
HD1271,birth,1867-?-?,1867-11-04,clean,"b. Nov 4, 1867 M"
HD1271,death,1936-?-?,1936-03-30,clean,"; d. Mar 30, 1936 M"
HD1272,birth,1889-?-?,1889-08-21,clean,"b. Aug 21, 1889 C"
HD1272,death,1973-?-?,1973-02-24,clean,"; d. Feb 24, 1973 W"
HD1273,birth,1892-?-?,1892-10-02,clean,"b. Oct 2, 1892 C"
HD1274,birth,1897-?-?,1897-07-18,clean,"b. Jul 18, 1897 W"
X00397,birth,1888-?-?,1888-02-06,clean,"b. Feb 6, 1888 R"
X00397,death,1973-?-?,1973-11-04,clean,"; d. Nov 4, 1973 W"
HD1275,birth,1921-?-?,1921-04-07,clean,"b. Apr 7, 1921 N"
HD1275,death,1994-?-?,1994-04-25,clean,"; d. Apr 25, 1994 a"
HD1276,birth,1925-?-?,1925-11-03,clean,"b. Nov 3, 1925 N"
HD1276,death,1990-?-?,1990-11-05,clean,"; d. Nov 5, 1990 N"
HD1277,birth,1819-?-?,1819-10-28,clean,"b. Oct 28, 1819 L"
HD1277,death,1874-?-?,1874-04-10,clean,"; d. Apr 10, 1874 E"
X00398,birth,1815-?-?,1815-09-20,clean,"b. Sep 20, 1815 L"
HD1278,birth,1842-?-?,1842-05-15,clean,"b. May 15, 1842 L"
HD1278,death,1865-?-?,1865-07-17,clean,"; d. Jul 17, 1865 G"
HD1279,birth,1843-?-?,1843-09-09,clean,"b. Sep 9, 1843 M"
HD1279,death,1864-?-?,1864-06-02,clean,"; d. Jun 2, 1864 A"
HD1281,birth,1847-?-?,1847-02-06,clean,"b. Feb 6, 1847 M"
HD1281,death,1923-?-?,1923-12-16,clean,"; d. Dec 16, 1923 a"
HD1282,birth,1849-?-?,1849-03-30,clean,"b. Mar 30, 1849 M"
HD1283,birth,1853-?-?,1853-01-20,clean,"b. Jan 20, 1853 M"
HD1284,birth,1855-?-?,1855-10-22,clean,"b. Oct 22, 1855 M"
HD1285,birth,1855-?-?,1855-10-22,clean,"b. Oct 22, 1855 M"
HD1286,birth,1830-?-?,1830-06-17,clean,"b. Jun 17, 1830 L"
HD1286,death,1896-?-?,1896-05-27,clean,"; d. May 27, 1896 L"
X00399,birth,1766-?-?,1766-10-04,clean,"b. Oct 4, 1766 L"
X00399,death,1852-?-?,1852-02-13,clean,"; d. Feb 13, 1852 L"
H00833,birth,1788-?-?,1788-12-19,clean,"b. Dec 19, 1788 L"
H00833,death,1862-?-?,1862-04-03,clean,"; d. Apr 3, 1862 R"
H00834,birth,1791-?-?,1791-05-04,clean,"b. May 4, 1791 L"
H00834,death,1864-?-?,1864-09-23,clean,"; d. Sep 23, 1864 R"
H00835,birth,1793-?-?,1793-07-01,clean,"b. Jul 1, 1793 L"
H00835,death,1871-?-?,1871-08-09,clean,"; d. Aug 9, 1871 L"
H00836,birth,1795-?-?,1795-06-07,clean,"b. Jun 7, 1795 L"
H00836,death,1883-?-?,1883-09-17,clean,"; d. Sep 17, 1883 O"
H00837,birth,1797-?-?,1797-08-21,clean,"b. Aug 21, 1797 L"
H00838,birth,1800-?-?,1800-01-31,clean,"b. Jan 31, 1800 L"
H00838,death,1859-?-?,1859-03-17,clean,"; d. Mar 17, 1859 W"
H00839,birth,1802-?-?,1802-05-22,clean,"b. May 22, 1802 L"
H00839,death,1875-?-?,1875-10-31,clean,"; d. Oct 31, 1875 A"
H00840,birth,1805-?-?,1805-09-10,clean,"b. Sep 10, 1805 L"
H00840,death,1882-?-?,1882-01-06,clean,"; d. Jan 6, 1882 V"
H00841,birth,1808-?-?,1808-09-12,clean,"b. Sep 12, 1808 L"
H00841,death,1878-?-?,1878-03-16,clean,"; d. Mar 16, 1878 B"
X00400,birth,1794-?-?,1794-09-05,clean,"b. Sep 5, 1794 B"
X00400,death,1865-?-?,1865-05-26,clean,"; d. May 26, 1865 R"
HD1287,birth,1816-?-?,1816-06-10,clean,"b. Jun 10, 1816;"
HD1287,death,1896-?-?,1896-07-12,clean,"; d. Jul 12, 1896 a"
X00401,birth,1789-?-?,1789-05-01,clean,"b. May 1, 1789 P"
X00401,death,1866-?-?,1866-10-25,clean,"; d. Oct 25, 1866 L"
HD1290,birth,1816-?-?,1816-08-21,clean,"b. Aug 21, 1816 L"
HD1290,death,1840-?-?,1840-07-11,clean,"; d. Jul 11, 1840 B"
HD1291,birth,1818-?-?,1818-11-01,clean,"b. Nov 1, 1818 L"
HD1291,death,1883-?-?,1883-09-10,clean,"; d. Sep 10, 1883 T"
HD1292,birth,1821-?-?,1821-02-11,clean,"b. Feb 11, 1821 L"
HD1292,death,1895-?-?,1895-09-26,clean,"; d. Sep 26, 1895 L"
HD1293,death,1894-?-?,1894-10-10,clean,"; d. Oct 10, 1894 L"
X00402,birth,1832-?-?,1832-02-06,clean,"b. Feb 6, 1832 H"
X00402,death,1918-?-?,1918-08-10,clean,"; d. Aug 10, 1918 L"
HD1295,birth,1854-?-?,1854-04-19,clean,"b. Apr 19, 1854 L"
HD1295,death,1926-?-?,1926-11-11,clean,"; d. Nov 11, 1926 T"
HD1296,birth,1862-?-?,1862-06-14,clean,"b. Jun 14, 1862 L"
HD1296,death,1934-?-?,1934-01-27,clean,"; d. Jan 27, 1934 W"
HD1297,birth,1864-?-?,1864-01-09,clean,"b. Jan 9, 1864 L"
HD1297,death,1938-?-?,1938-07-22,clean,"; d. Jul 22, 1938 L"
X00403,birth,1868-?-?,1868-11-16,clean,"b. Nov 16, 1868 C"
X00403,death,1957-?-?,1957-05-09,clean,"; d. May 9, 1957 W"
HD1298,birth,1890-?-?,1890-06-23,clean,"b. Jun 23, 1890 W"
HD1298,death,1958-?-?,1958-06-15,clean,"; d. Jun 15, 1958 W"
HD1299,birth,1894-?-?,1894-05-12,clean,"b. May 12, 1894 W"
HD1299,death,1973-?-?,1973-12-02,clean,"; d. Dec 2, 1973 V"
HD1300,birth,1896-?-?,1896-11-03,clean,"b. Nov 3, 1896 W"
HD1300,death,1952-?-?,1952-02-11,clean,"; d. Feb 11, 1952 W"
HD1301,birth,1898-?-?,1898-05-21,clean,"b. May 21, 1898 W"
HD1301,death,1971-?-?,1971-09-07,clean,"; d. Sep 7, 1971 B"
HD1302,birth,1902-?-?,1902-06-03,clean,"b. Jun 3, 1902 W"
HD1302,death,1972-?-?,1972-01-18,clean,"; d. Jan 18, 1972 W"
X00404,birth,1900-?-?,1900-03-27,clean,"b. Mar 27, 1900 N"
X00404,death,1987-?-?,1987-01-28,clean,"; d. Jan 28, 1987 M"
HD1303,birth,1920-?-?,1920-12-06,clean,"b. Dec 6, 1920 N"
HD1303,death,2005-?-?,2005-08-05,clean,"; d. Aug 5, 2005 M"
HD1304,birth,1922-?-?,1922-08-10,clean,"b. Aug 10, 1922 N"
HD1304,death,2002-?-?,2002-07-02,clean,"; d. Jul 2, 2002 M"
HD1305,birth,1925-?-?,1925-06-08,clean,"b. Jun 8, 1925 N"
HD1305,death,2014-?-?,2014-09-24,clean,"; d. Sep 24, 2014 C"
HD1306,birth,1927-?-?,1927-10-19,clean,"b. Oct 19, 1927 N"
HD1306,death,1966-?-?,1966-02-28,clean,"; d. Feb 28, 1966 B"
HD1307,birth,1934-?-?,1934-08-10,clean,"b. Aug 10, 1934 N"
HD1307,death,2011-?-?,2011-12-10,clean,"; d. Dec 10, 2011 D"
X00405,birth,1796-?-?,1796-08-06,clean,"b. Aug 6, 1796 P"
X00405,death,1891-?-?,1891-10-06,clean,"; d. Oct 6, 1891 O"
HD1308,birth,1824-?-?,1824-08-18,clean,"b. Aug 18, 1824."
HD1309,birth,1827-?-?,1827-02-17,clean,"b. Feb 17, 1827."
HD1310,birth,1829-?-?,1829-03-14,clean,"b. Mar 14, 1829;"
HD1310,death,1832-?-?,1832-05-27,clean,"; d. May 27, 1832 a"
HD1311,birth,1830-?-?,1830-11-09,clean,"b. Nov 9, 1830 N"
HD1311,death,1912-?-?,1912-07-21,clean,"; d. Jul 21, 1912 F"
HD1312,birth,1837-?-?,1837-03-25,clean,"b. Mar 25, 1837."
HD1313,birth,1840-?-?,1840-02-11,clean,"b. Feb 11, 1840 W"
HD1313,death,1903-?-?,1903-04-20,clean,"; d. Apr 20, 1903 R"
X00406,birth,1837-?-?,1837-06-26,clean,"b. Jun 26, 1837 V"
X00406,death,1904-?-?,1904-04-19,clean,"; d. Apr 19, 1904 O"
HD1314,birth,1865-?-?,1865-09-28,clean,"b. Sep 28, 1865 N"
HD1314,death,1933-?-?,1933-02-12,clean,"; d. Feb 12, 1933 W"
HD1315,birth,1890-?-?,1890-04-20,clean,"b. Apr 20, 1890 S"
HD1315,death,1943-?-?,1943-05-26,clean,"; d. May 26, 1943 M"
HD1316,birth,1914-?-?,1914-03-15,clean,"b. Mar 15, 1914 W"
HD1316,death,2000-?-?,2000-01-26,clean,"; d. Jan 26, 2000 A"
X00409,death,1884-?-?,1884-01-20,clean,"; d. Jan 20, 1884 V"
HD1317,death,1863-?-?,1863-08-31,clean,"; d. Aug 31, 1863 V"
HD1318,birth,1842-?-?,1842-09-08,clean,"b. Sep 8, 1842 V"
HD1318,death,1913-?-?,1913-06-27,clean,"; d. Jun 27, 1913 C"
HD1319,death,1920-?-?,1920-10-17,clean,"; d. Oct 17, 1920 V"
HD1320,death,1867-?-?,1867-12-21,clean,"; d. Dec 21, 1867 V"
HD1321,birth,1856-?-?,1856-09-06,clean,"b. Sep 6, 1856 V"
X00410,birth,1724-?-?,1724-08-30,clean,"b. Aug 30, 1724 M"
X00411,birth,1723-?-?,1723-02-06,clean,"b. Feb 6, 1723 M"
X00411,death,1765-?-?,1765-06-13,clean,"; d. Jun 13, 1765 W"
H00845,birth,1753-?-?,1753-12-09,clean,"b. Dec 9, 1753 W"
H00845,death,1754-?-?,1754-12-11,clean,"; d. Dec 11, 1754 W"
H00846,birth,1757-?-?,1757-10-16,clean,"b. Oct 16, 1757 W"
H00846,death,1796-?-?,1796-12-13,clean,"; d. Dec 13, 1796 N"
X00413,birth,1756-?-?,1756-10-16,clean,"b. Oct 16, 1756 N"
X00413,death,1785-?-?,1785-09-24,clean,"; d. Sep 24, 1785 N"
HD1324,death,1828-?-?,1828-05-15,clean,"; d. May 15, 1828 B"
HD1325,birth,1794-?-?,1794-02-28,clean,"b. Feb 28, 1794 N"
HD1325,death,1889-?-?,1889-08-03,clean,"; d. Aug 3, 1889 P"
HD1326,death,1839-?-?,1839-02-28,clean,"; d. Feb 28, 1839 K"
HD1327,birth,1801-?-?,1801-08-28,clean,"b. Aug 28, 1801 N"
HD1327,death,1865-?-?,1865-08-21,clean,"; d. Aug 21, 1865 S"
X00416,birth,1800-?-?,1800-08-14,clean,"b. Aug 14, 1800 A"
X00416,death,1892-?-?,1892-02-21,clean,"; d. Feb 21, 1892 L"
HD1328,birth,1844-?-?,1844-07-23,clean,"b. Jul 23, 1844 B"
HD1328,death,1926-?-?,1926-09-06,clean,"; d. Sep 6, 1926 ("
HD1330,birth,1771-?-?,1771-08-03,clean,"b. Aug 3, 1771 H"
HD1330,death,1848-?-?,1848-07-28,clean,"; d. Jul 28, 1848 H"
X00419,birth,1778-?-?,1778-07-04,clean,"b. Jul 4, 1778 G"
X00419,death,1841-?-?,1841-07-24,clean,"; d. Jul 24, 1841 H"
HD1332,death,1834-?-?,1834-02-04,clean,"; d. Feb 4, 1834 B"
HD1333,death,1847-?-?,1847-08-18,clean,"; d. Aug 18, 1847 B"
HD1334,birth,1811-?-?,1811-03-20,clean,"b. Mar 20, 1811 S"
HD1334,death,1894-?-?,1894-05-02,clean,"; d. May 2, 1894 H"
HD1335,birth,1814-?-?,1814-04-27,clean,"b. Apr 27, 1814 S"
HD1335,death,1898-?-?,1898-10-06,clean,"; d. Oct 6, 1898 S"
HD1336,death,1858-?-?,1858-02-03,clean,"; d. Feb 3, 1858 F"
HD1337,birth,1816-?-?,1816-08-10,clean,"b. Aug 10, 1816 S"
HD1337,death,1862-?-?,1862-08-30,clean,"; d. Aug 30, 1862 R"
HD1338,death,1834-?-?,1834-02-28,clean,"; d. Feb 28, 1834 B"
HD1339,birth,1824-?-?,1824-09-23,clean,"b. Sep 23, 1824 B"
HD1339,death,1896-?-?,1896-03-25,clean,"; d. Mar 25, 1896 K"
X00420,birth,1803-?-?,1803-07-22,clean,"b. Jul 22, 1803 C"
X00420,death,1874-?-?,1874-10-14,clean,"; d. Oct 14, 1874 N"
HD1344,birth,1836-?-?,1836-02-21,clean,"b. Feb 21, 1836 N"
HD1344,death,1889-?-?,1889-03-14,clean,"; d. Mar 14, 1889 O"
HD1345,birth,1799-?-?,1799-02-03,clean,"b. Feb 3, 1799 H"
X00422,death,1872-?-?,1872-01-05,clean,"; d. Jan 5, 1872 C"
HD1355,birth,1792-?-?,1792-10-18,clean,"b. Oct 18, 1792 N"
HD1355,death,1861-?-?,1861-06-16,clean,"; d. Jun 16, 1861 M"
X00426,birth,1769-?-?,1769-02-01,clean,"b. Feb 1, 1769;"
X00426,death,1846-?-?,1846-10-19,clean,"; d. Oct 19, 1846 a"
X00427,birth,1843-?-?,1843-08-24,clean,"b. Aug 24, 1843 W"
X00427,death,1904-?-?,1904-12-10,clean,"; d. Dec 10, 1904 P"
X00428,birth,1728-?-?,1728-05-21,clean,"b. May 21, 1728 W"
X00428,death,1790-?-?,1790-12-12,clean,"; d. Dec 12, 1790 W"
X00429,death,1804-?-?,1804-01-04,clean,"; d. Jan 4, 1804 ("
X00430,birth,1770-?-?,1770-08-18,clean,"b. Aug 18, 1770 W"
X00433,birth,1731-?-?,1731-12-06,clean,"b. Dec 6, 1731 R"
X00433,death,1819-?-?,1819-03-04,clean,"; d. Mar 4, 1819 W"
HD1365,birth,1819-?-?,1819-05-24,clean,"b. May 24, 1819 S"
HD1365,death,1871-?-?,1871-07-12,clean,"; d. Jul 12, 1871."
HD1367,birth,1821-?-?,1821-01-16,clean,"b. Jan 16, 1821 S"
HD1367,death,1821-?-?,1821-09-28,clean,"; d. Sep 28, 1821."
HD1368,birth,1825-?-?,1825-08-06,clean,"b. Aug 6, 1825 S"
HD1369,birth,1828-?-?,1828-05-26,clean,"b. May 26, 1828 S"
HD1370,birth,1831-?-?,1831-06-26,clean,"b. Jun 26, 1831 S"
HD1370,death,1832-?-?,1832-05-29,clean,"; d. May 29, 1832."
X00437,birth,1731-?-?,1731-06-14,clean,"b. Jun 14, 1731 M"
X00437,death,1773-?-?,1773-04-13,clean,"; d. Apr 13, 1773 M"
H00848,birth,1758-?-?,1758-12-21,clean,"b. Dec 21, 1758 M"
H00848,death,1780-?-?,1780-08-04,clean,"; d. Aug 4, 1780 M"
H00849,birth,1763-?-?,1763-05-09,clean,"b. May 9, 1763 M"
H00850,birth,1765-?-?,1765-08-19,clean,"b. Aug 19, 1765 M"
H00850,death,1801-?-?,1801-12-07,clean,"; d. Dec 7, 1801 M"
H00853,birth,1773-?-?,1773-01-04,clean,"b. Jan 4, 1773 M"
H00853,death,1792-?-?,1792-04-09,clean,"; d. Apr 9, 1792 M"
H00854,birth,1761-?-?,1761-02-23,clean,"b. Feb 23, 1761 M"
X00438,birth,1759-?-?,1759-12-04,clean,"b. Dec 4, 1759 M"
X00438,death,1846-?-?,1846-07-11,clean,"; d. Jul 11, 1846 M"
HD1371,birth,1789-?-?,1789-08-25,clean,"b. Aug 25, 1789 M"
HD1371,death,1862-?-?,1862-06-13,clean,"; d. Jun 13, 1862 H"
HD1372,birth,1791-?-?,1791-12-29,clean,"b. Dec 29, 1791 M"
HD1372,death,1825-?-?,1825-06-22,clean,"; d. Jun 22, 1825 a"
HD1373,birth,1794-?-?,1794-06-23,clean,"b. Jun 23, 1794 M"
HD1373,death,1819-?-?,1819-04-10,clean,"; d. Apr 10, 1819 a"
HD1374,birth,1797-?-?,1797-06-16,clean,"b. Jun 16, 1797 M"
HD1374,death,1874-?-?,1874-04-04,clean,"; d. Apr 4, 1874 M"
HD1376,birth,1818-?-?,1818-01-24,clean,"b. Jan 24, 1818 H"
HD1376,death,1857-?-?,1857-06-18,clean,"; d. Jun 18, 1857 C"
X00443,birth,1904-?-?,1904-07-05,clean,"b. Jul 5, 1904 C"
X00443,death,1998-?-?,1998-02-23,clean,"; d. Feb 23, 1998 N"
HD1386,birth,1848-?-?,1848-09-08,clean,"b. Sep 8, 1848 M"
X00445,birth,1846-?-?,1846-11-06,clean,"b. Nov 6, 1846;"
X00445,death,1876-?-?,1876-02-02,clean,"; d. Feb 2, 1876 a"
HD1387,birth,1876-?-?,1876-01-13,clean,"b. Jan 13, 1876 M"
HD1387,death,1937-?-?,1937-06-06,clean,"; d. Jun 6, 1937 S"
X00446,birth,1731-?-?,1731-06-24,clean,"b. Jun 24, 1731 H"
X00446,death,1797-?-?,1797-10-14,clean,"; d. Oct 14, 1797 T"
H00855,birth,1759-?-?,1759-06-15,clean,"b. Jun 15, 1759 K"
H00855,death,1817-?-?,1817-05-30,clean,"; d. May 30, 1817 T"
X00447,death,1832-?-?,1832-12-24,clean,"; d. Dec 24, 1832 T"
H00856,birth,1761-?-?,1761-03-19,clean,"b. Mar 19, 1761 K"
H00856,death,1828-?-?,1828-11-13,clean,"; d. Nov 13, 1828 W"
X00448,death,1857-?-?,1857-06-09,clean,"; d. Jun 9, 1857 M"
HD1388,birth,1798-?-?,1798-11-11,clean,"b. Nov 11, 1798 M"
HD1388,death,1859-?-?,1859-07-01,clean,"; d. Jul 1, 1859 M"
HD1389,birth,1800-?-?,1800-04-08,clean,"b. Apr 8, 1800;"
HD1389,death,1803-?-?,1803-12-13,clean,"; d. Dec 13, 1803."
HD1390,birth,1802-?-?,1802-01-14,clean,"b. Jan 14, 1802 M"
HD1391,birth,1803-?-?,1803-09-03,clean,"b. Sep 3, 1803;"
HD1392,birth,1804-?-?,1804-08-08,clean,"b. Aug 8, 1804 M"
HD1393,birth,1806-?-?,1806-03-25,clean,"b. Mar 25, 1806 M"
HD1393,death,1857-?-?,1857-02-08,clean,"; d. Feb 8, 1857 M"
HD1394,birth,1808-?-?,1808-02-17,clean,"b. Feb 17, 1808;"
HD1394,death,1808-?-?,1808-07-21,clean,"; d. Jul 21, 1808."
HD1396,birth,1810-?-?,1810-10-07,clean,"b. Oct 7, 1810 M"
HD1397,birth,1812-?-?,1812-04-05,clean,"b. Apr 5, 1812;"
HD1398,birth,1813-?-?,1813-05-19,clean,"b. May 19, 1813;"
HD1398,death,1814-?-?,1814-05-26,clean,"; d. May 26, 1814."
HD1399,birth,1814-?-?,1814-11-17,clean,"b. Nov 17, 1814 M"
HD1400,birth,1816-?-?,1816-08-23,clean,". b. Aug. 23, 1816."""
H00857,birth,1762-?-?,1762-08-09,clean,"b. Aug 9, 1762 K"
H00857,death,1816-?-?,1816-08-16,clean,"; d. Aug 16, 1816 T"
H00858,birth,1763-?-?,1763-11-06,clean,"b. Nov 6, 1763 ("
H00860,birth,1775-?-?,1775-05-01,clean,"b. May 1, 1775 T"
H00860,death,1861-?-?,1861-01-08,clean,"; d. Jan 8, 1861 E"
HD1413,birth,1792-?-?,1792-07-15,clean,"b. Jul 15, 1792 T"
HD1413,death,1874-?-?,1874-10-11,clean,"; d. Oct 11, 1874 N"
H00868,death,1806-?-?,1806-07-15,clean,"; d. Jul 15, 1806 N"
H00869,death,1795-?-?,1795-11-12,clean,"; d. Nov 12, 1795 N"
HD1427,death,1839-?-?,1839-03-09,clean,"; d. Mar 9, 1839 N"
HD1428,death,1806-?-?,1806-06-19,clean,"; d. Jun 19, 1806 N"
X00456,birth,1736-?-?,1736-08-01,clean,"b. Aug 1, 1736 N"
X00456,death,1783-?-?,1783-11-09,clean,"; d. Nov 9, 1783 N"
H00872,death,1842-?-?,1842-01-06,clean,"; d. Jan 6, 1842 W"
H00873,death,1833-?-?,1833-06-30,clean,"; d. Jun 30, 1833 N"
X00458,birth,1762-?-?,1762-10-10,clean,b. Oct 10 1762 N
X00458,death,1827-?-?,1827-09-28,clean,; d. Sep 28 1827 W
X00460,death,1846-?-?,1846-12-20,clean,; d. Dec 20 1846 C
HD1430,birth,1791-?-?,1791-05-19,clean,b. May 19 1791 W
HD1430,death,1848-?-?,1848-06-23,clean,; d. Jun 23 1848 W
HD1431,birth,1825-?-?,1825-03-11,clean,b. Mar 11 1825 W
HD1431,death,1884-?-?,1884-03-27,clean,; d. Mar 27 1884 W
X00462,birth,1858-?-?,1858-12-31,clean,b. Dec 31 1858 W
X00462,death,1898-?-?,1898-03-17,clean,; d. Mar 17 1898 W
HD1432,death,1921-?-?,1921-08-02,clean,; d. Aug 2 1921 W
X00463,birth,1898-?-?,1898-01-02,clean,b. Jan 2 1898 P
X00463,death,1979-?-?,1979-12-18,clean,; d. Dec 18 1979.
HD1433,birth,1898-?-?,1898-03-03,clean,b. Mar 3 1898 W
HD1433,death,1969-?-?,1969-11-30,clean,; d. Nov 30 1969 W
HD1434,birth,1924-?-?,1924-06-28,clean,b. Jun 28 1924 W
HD1434,death,2012-?-?,2012-07-29,clean,; d. Jul 29 2012 W
HD1435,birth,1849-?-?,1849-02-11,clean,b. Feb 11 1849 E
HD1435,death,1919-?-?,1919-11-14,clean,; d. Nov 14 1919 W
HD1436,birth,1876-?-?,1876-12-03,clean,b. Dec 3 1876 W
HD1436,death,1912-?-?,1912-09-20,clean,; d. Sep 20 1912 W
X00465,birth,1767-?-?,1767-04-02,clean,b. Apr 2 1767 N
X00465,death,1826-?-?,1826-08-16,clean,; d. Aug 16 1826 N
X00466,birth,1802-?-?,1802-12-13,clean,b. Dec 13 1802 B
X00466,death,1895-?-?,1895-03-11,clean,; d. Mar 11 1895 N
X00467,birth,1770-?-?,1770-02-02,clean,b. Feb 2 1770 C
X00467,death,1841-?-?,1841-08-25,clean,; d. Aug 25 1841 H
HD1439,birth,1792-?-?,1792-01-09,clean,b. Jan 9 1792 H
HD1439,death,1878-?-?,1878-07-08,clean,; d. Jul 8 1878 a
HD1440,birth,1799-?-?,1799-03-20,clean,b. Mar 20 1799 H
HD1440,death,1850-?-?,1850-06-23,clean,; d. Jun 23 1850 a
HD1441,birth,1805-?-?,1805-02-02,clean,b. Feb 2 1805 H
HD1441,death,1843-?-?,1843-04-25,clean,; d. Apr 25 1843 a
HD1442,birth,1808-?-?,1808-11-13,clean,b. Nov 13 1808 H
HD1443,birth,1814-?-?,1814-06-11,clean,b. Jun 11 1814 H
HD1443,death,1814-?-?,1814-06-11,clean,; d. Jun 11 1814.
